folder,video,surface_row_px,impact_frame,liftoff_frame,contact_time_ms,pre_impact_cx_px,pre_impact_cy_px,pre_impact_radius_px,pre_impact_diameter_mm,max_spread_width_px,max_spread_width_mm,max_spread_factor,impact_velocity_px_per_frame,impact_velocity_mm_per_s
02182026,cainhcg1.mp4,400,394,407,4.338,628.0,236.0,42.5,1.2952,171.0,2.6057,2.0118,23.1429,1056.82
02182026,cainhcg2.mp4,433,137,147,3.3369,664.0,426.0,67.0,2.0419,232.0,3.5352,1.7313,18.3197,836.57
02182026,cainhcg3.mp4,437,181,481,100.1079,,,,,,,,,
02182026,cainhcg4.mp4,433,163,173,3.3369,513.0,216.0,57.5,1.7524,227.0,3.459,1.9739,21.9429,1002.02
02182026,cainhcg5.mp4,433,92,392,100.1079,,,,,,,,,
02182026,cainhsds1.mp4,433,1182,1194,4.0043,1125.0,451.0,86.0,2.621,45.0,0.6857,0.2616,12.3651,564.65
02182026,cainhsds2.mp4,430,1067,1077,3.3369,589.0,195.0,95.5,2.9105,280.0,4.2667,1.466,24.7429,1129.88
02182026,cainhsds3.mp4,428,234,245,3.6706,566.0,212.0,64.0,1.9505,283.0,4.3124,2.2109,23.3143,1064.65
02182026,cainhtx1.mp4,428,328,344,5.3391,594.0,215.0,44.5,1.3562,202.0,3.0781,2.2697,23.0857,1054.21
02182026,cainhtx2.mp4,428,70,84,4.6717,750.0,213.0,44.5,1.3562,188.0,2.8648,2.1124,24.4,1114.23
02182026,cainhtx3.mp4,402,27,37,3.3369,848.0,269.0,27.0,0.8229,457.0,6.9638,8.463,24.1714,1103.79
02182026,cainlcg1.mp4,433,647,676,9.6771,575.0,180.0,43.0,1.3105,303.0,4.6171,3.5233,24.0,1095.96
02182026,cainlcg2.mp4,433,102,116,4.6717,557.0,218.0,49.0,1.4933,211.0,3.2152,2.1531,22.9143,1046.38
02182026,cainlcg3.mp4,399,99,114,5.0054,573.0,224.0,56.0,1.7067,229.0,3.4895,2.0446,24.4571,1116.84
02182026,cainlsds1.mp4,427,245,545,100.1079,,,,,272.0,4.1448,,,
02182026,cainlsds2.mp4,426,492,502,3.3369,658.0,205.0,54.0,1.6457,246.0,3.7486,2.2778,23.9429,1093.35
02182026,cainlsds3.mp4,417,260,272,4.0043,639.0,235.0,46.5,1.4171,229.0,3.4895,2.4624,25.6,1169.02
02182026,cainltx1.mp4,433,308,321,4.338,822.0,222.0,42.0,1.28,155.0,2.3619,1.8452,23.1429,1056.82
02182026,cainltx2.mp4,428,1143,1156,4.338,632.0,200.0,59.5,1.8133,276.0,4.2057,2.3193,23.0857,1054.21
02182026,cainltx3.mp4,422,624,634,3.3369,770.0,218.0,50.0,1.5238,185.0,2.819,1.85,23.4286,1069.87
02182026,caonly1.mp4,399,100,400,100.1079,,,,,166.0,2.5295,,,
02182026,caonly2.mp4,405,285,299,4.6717,583.0,225.0,60.0,1.8286,255.0,3.8857,2.125,22.9714,1048.99
02182026,caonly3.mp4,433,206,216,3.3369,480.0,225.0,54.5,1.661,234.0,3.5657,2.1468,22.8,1041.16
