frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
413,falling,1140.0,240.0,77.6,,hough,1.0,2.3642,2.0782,,0.0,,65.625,True
414,falling,1209.4,296.5,21.3,,hough,1.0,0.6485,0.57,4086.6,0.3337,89.491,65.625,False
415,falling,396.0,400.0,37.3,,template,0.4357,1.1376,1.0,37443.41,0.6674,819.958,65.625,False
416,falling,395.0,400.0,37.3,,template,0.4426,1.1376,1.0,45.67,1.0011,1.0,65.625,False
417,falling,389.0,398.0,37.3,,template,0.4159,1.1376,1.0,288.81,1.3348,6.325,65.625,False
418,falling,389.0,398.0,37.3,,template,0.4327,1.1376,1.0,0.0,1.6685,0.0,65.625,False
419,falling,1215.3,299.9,31.1,,hough,1.0,0.9466,0.8321,37997.99,2.0022,832.103,65.625,False
420,falling,1197.5,327.6,25.9,,hough,1.0,0.7906,0.695,1503.57,2.3359,32.926,65.625,False
421,falling,393.0,396.0,37.3,,template,0.4341,1.1376,1.0,36870.05,2.6695,807.403,65.625,False
422,falling,396.0,398.0,37.3,,template,0.4341,1.1376,1.0,164.65,3.0032,3.606,65.625,False
423,falling,1208.1,106.6,34.0,,hough,1.0,1.0355,0.9102,39399.68,3.3369,862.798,65.625,False
424,falling,396.0,400.0,37.3,,template,0.4363,1.1376,1.0,39430.62,3.6706,863.476,65.625,False
425,falling,1205.7,352.2,35.5,,hough,1.0,1.0825,0.9516,37039.33,4.0043,811.11,65.625,False
426,falling,1219.2,175.8,36.4,,hough,1.0,1.1098,0.9756,8078.86,4.338,176.916,65.625,False
427,falling,1272.7,353.7,73.5,,hough,1.0,2.2388,1.968,8483.21,4.6717,185.77,65.625,False
428,falling,395.0,396.0,37.3,,template,0.4266,1.1376,1.0,40126.7,5.0054,878.719,65.625,False
429,falling,1214.5,165.2,27.5,,hough,1.0,0.8371,0.7359,38878.31,5.3391,851.381,65.625,False
430,falling,1213.0,297.0,24.4,,hough,1.0,0.7438,0.6538,6019.04,5.6728,131.809,65.625,False
431,falling,396.0,399.0,37.3,,template,0.429,1.1376,1.0,37597.95,6.0065,823.343,65.625,False
432,falling,396.0,397.0,37.3,,template,0.43,1.1376,1.0,91.33,6.3402,2.0,65.625,False
433,falling,395.0,399.0,37.3,,template,0.4278,1.1376,1.0,102.11,6.6739,2.236,65.625,False
434,falling,1208.2,96.8,33.3,,hough,1.0,1.0151,0.8923,39616.05,7.0076,867.536,65.625,False
435,falling,1215.5,185.4,23.5,,hough,1.0,0.7148,0.6284,4059.63,7.3412,88.9,65.625,False
436,falling,1257.5,394.0,72.1,,hough,1.0,2.1972,1.9315,9716.88,7.6749,212.786,65.625,False
437,falling,1213.4,278.1,27.7,,hough,1.0,0.8445,0.7423,5662.76,8.0086,124.007,65.625,False
438,falling,808.0,79.0,37.3,,template,0.5741,1.1376,1.0,20624.72,8.3423,451.652,65.625,False
439,falling,808.0,94.0,37.3,,template,0.6015,1.1376,1.0,684.98,8.676,15.0,65.625,False
440,falling,1214.2,264.9,26.7,,hough,1.0,0.8144,0.7159,20123.99,9.0097,440.687,65.625,False
441,falling,808.0,141.0,37.3,,template,0.6268,1.1376,1.0,19392.83,9.3434,424.676,65.625,False
442,falling,1213.7,177.3,25.9,,hough,1.0,0.788,0.6927,18600.31,9.6771,407.321,65.625,False
443,falling,809.0,189.0,37.3,,template,0.612,1.1376,1.0,18488.35,10.0108,404.869,65.625,False
444,falling,1221.5,190.8,40.4,,hough,1.0,1.2305,1.0816,18837.0,10.3445,412.504,65.625,False
445,falling,1220.8,260.5,39.2,,hough,1.0,1.1939,1.0495,3183.01,10.6782,69.704,65.625,False
446,falling,1200.5,342.3,30.8,,hough,1.0,0.9371,0.8238,3848.7,11.0119,84.281,65.625,False
447,falling,1216.8,246.0,25.4,,hough,1.0,0.7751,0.6813,4460.09,11.3456,97.67,65.625,False
448,falling,812.0,312.0,37.3,,template,0.6001,1.1376,1.0,18729.28,11.6793,410.145,65.625,False
449,falling,1208.3,93.9,37.3,,hough,1.0,1.1376,1.0,20656.61,12.0129,452.351,65.625,False
450,falling,812.0,359.0,37.3,,template,0.5963,1.1376,1.0,21772.77,12.3466,476.793,65.625,False
451,falling,812.0,382.0,37.3,,template,0.6035,1.1376,1.0,1050.3,12.6803,23.0,65.625,False
452,spreading,,,,95,contact_width,1.0,,1.2725,,13.014,,65.625,True
453,spreading,,,,115,contact_width,1.0,,1.5404,,13.3477,,65.625,False
454,spreading,,,,154,contact_width,1.0,,2.0628,,13.6814,,65.625,False
455,spreading,,,,182,contact_width,1.0,,2.4379,,14.0151,,65.625,False
456,spreading,,,,196,contact_width,1.0,,2.6254,,14.3488,,65.625,False
457,spreading,,,,198,contact_width,1.0,,2.6522,,14.6825,,65.625,False
458,spreading,,,,199,contact_width,1.0,,2.6656,,15.0162,,65.625,False
459,spreading,,,,191,contact_width,1.0,,2.5584,,15.3499,,65.625,False
460,spreading,,,,179,contact_width,1.0,,2.3977,,15.6836,,65.625,False
461,spreading,,,,166,contact_width,1.0,,2.2236,,16.0173,,65.625,False
462,spreading,,,,155,contact_width,1.0,,2.0762,,16.351,,65.625,False
463,spreading,,,,139,contact_width,1.0,,1.8619,,16.6846,,65.625,False
464,spreading,,,,127,contact_width,1.0,,1.7012,,17.0183,,65.625,False
465,spreading,,,,118,contact_width,1.0,,1.5806,,17.352,,65.625,False
466,spreading,,,,111,contact_width,1.0,,1.4868,,17.6857,,65.625,False
467,spreading,,,,104,contact_width,1.0,,1.3931,,18.0194,,65.625,False
468,spreading,,,,98,contact_width,1.0,,1.3127,,18.3531,,65.625,False
469,spreading,,,,92,contact_width,1.0,,1.2323,,18.6868,,65.625,False
470,spreading,,,,88,contact_width,1.0,,1.1788,,19.0205,,65.625,False
471,spreading,,,,87,contact_width,1.0,,1.1654,,19.3542,,65.625,False
472,spreading,,,,83,contact_width,1.0,,1.1118,,19.6879,,65.625,False
473,spreading,,,,77,contact_width,1.0,,1.0314,,20.0216,,65.625,False
474,spreading,,,,72,contact_width,1.0,,0.9644,,20.3553,,65.625,False
475,spreading,,,,64,contact_width,1.0,,0.8573,,20.689,,65.625,False
476,spreading,,,,53,contact_width,1.0,,0.7099,,21.0227,,65.625,False
477,spreading,,,,45,contact_width,1.0,,0.6028,,21.3564,,65.625,False
478,spreading,,,,39,contact_width,1.0,,0.5224,,21.69,,65.625,False
479,spreading,,,,40,contact_width,1.0,,0.5358,,22.0237,,65.625,False
480,spreading,,,,37,contact_width,1.0,,0.4956,,22.3574,,65.625,False
481,spreading,,,,0,contact_width,1.0,,,,22.6911,,65.625,False
482,spreading,,,,0,contact_width,1.0,,,,23.0248,,65.625,False
483,spreading,,,,0,contact_width,1.0,,,,23.3585,,65.625,False
484,spreading,,,,0,contact_width,1.0,,,,23.6922,,65.625,False
485,spreading,,,,0,contact_width,1.0,,,,24.0259,,65.625,False
486,spreading,,,,0,contact_width,1.0,,,,24.3596,,65.625,False
487,spreading,,,,0,contact_width,1.0,,,,24.6933,,65.625,False
488,spreading,,,,0,contact_width,1.0,,,,25.027,,65.625,False
489,spreading,,,,0,contact_width,1.0,,,,25.3607,,65.625,False
490,spreading,,,,0,contact_width,1.0,,,,25.6944,,65.625,False
491,spreading,,,,0,contact_width,1.0,,,,26.0281,,65.625,False
492,spreading,,,,0,contact_width,1.0,,,,26.3617,,65.625,False
493,spreading,,,,0,contact_width,1.0,,,,26.6954,,65.625,False
494,spreading,,,,0,contact_width,1.0,,,,27.0291,,65.625,False
495,spreading,,,,0,contact_width,1.0,,,,27.3628,,65.625,False
496,spreading,,,,0,contact_width,1.0,,,,27.6965,,65.625,False
497,spreading,,,,0,contact_width,1.0,,,,28.0302,,65.625,False
498,spreading,,,,0,contact_width,1.0,,,,28.3639,,65.625,False
499,spreading,,,,0,contact_width,1.0,,,,28.6976,,65.625,False
500,spreading,,,,0,contact_width,1.0,,,,29.0313,,65.625,False
501,spreading,,,,0,contact_width,1.0,,,,29.365,,65.625,False
502,spreading,,,,0,contact_width,1.0,,,,29.6987,,65.625,False
503,spreading,,,,0,contact_width,1.0,,,,30.0324,,65.625,False
504,spreading,,,,0,contact_width,1.0,,,,30.3661,,65.625,False
505,spreading,,,,0,contact_width,1.0,,,,30.6998,,65.625,False
506,spreading,,,,0,contact_width,1.0,,,,31.0334,,65.625,False
507,spreading,,,,0,contact_width,1.0,,,,31.3671,,65.625,False
508,spreading,,,,0,contact_width,1.0,,,,31.7008,,65.625,False
509,spreading,,,,0,contact_width,1.0,,,,32.0345,,65.625,False
510,spreading,,,,0,contact_width,1.0,,,,32.3682,,65.625,False
511,spreading,,,,0,contact_width,1.0,,,,32.7019,,65.625,False
512,spreading,,,,0,contact_width,1.0,,,,33.0356,,65.625,False
513,spreading,,,,0,contact_width,1.0,,,,33.3693,,65.625,False
514,spreading,,,,0,contact_width,1.0,,,,33.703,,65.625,False
515,spreading,,,,0,contact_width,1.0,,,,34.0367,,65.625,False
516,spreading,,,,0,contact_width,1.0,,,,34.3704,,65.625,False
517,spreading,,,,0,contact_width,1.0,,,,34.7041,,65.625,False
518,spreading,,,,0,contact_width,1.0,,,,35.0378,,65.625,False
519,spreading,,,,0,contact_width,1.0,,,,35.3715,,65.625,False
520,spreading,,,,0,contact_width,1.0,,,,35.7052,,65.625,False
521,spreading,,,,0,contact_width,1.0,,,,36.0388,,65.625,False
522,spreading,,,,0,contact_width,1.0,,,,36.3725,,65.625,False
523,spreading,,,,0,contact_width,1.0,,,,36.7062,,65.625,False
524,spreading,,,,0,contact_width,1.0,,,,37.0399,,65.625,False
525,spreading,,,,0,contact_width,1.0,,,,37.3736,,65.625,False
526,spreading,,,,0,contact_width,1.0,,,,37.7073,,65.625,False
527,spreading,,,,0,contact_width,1.0,,,,38.041,,65.625,False
528,spreading,,,,0,contact_width,1.0,,,,38.3747,,65.625,False
529,spreading,,,,0,contact_width,1.0,,,,38.7084,,65.625,False
