frame,phase,cx_px,cy_px,radius_px,spread_width_px,detection_method,confidence,D_mm,beta,velocity_mm_s,time_ms,dist_travelled_px,px_per_mm,state_change
273,falling,1209.9,250.4,35.0,,hough,1.0,1.0666,0.5359,,0.0,,65.625,True
274,falling,1195.0,76.1,36.3,,hough,1.0,1.1052,0.5553,7988.44,0.3337,174.936,65.625,False
275,falling,1208.7,218.6,22.4,,hough,1.0,0.6835,0.3434,6537.27,0.6674,143.157,65.625,False
276,falling,380.0,309.0,65.3,,template,0.4201,1.9902,1.0,38067.09,1.0011,833.616,65.625,False
277,falling,1174.2,341.3,57.2,,hough,1.0,1.7421,0.8753,36297.13,1.3348,794.857,65.625,False
278,falling,381.0,310.0,65.3,,template,0.408,1.9902,1.0,36249.68,1.6685,793.817,65.625,False
279,falling,1349.1,421.5,167.2,,hough,1.0,5.0957,2.5604,44500.55,2.0022,974.5,65.625,False
280,falling,1269.6,310.0,56.3,,hough,1.0,1.7159,0.8621,6253.36,2.3359,136.94,65.625,False
281,falling,1110.7,337.5,91.2,,hough,1.0,2.7806,1.3971,7364.04,2.6695,161.262,65.625,False
282,falling,380.0,310.0,65.3,,template,0.4172,1.9902,1.0,33391.05,3.0032,731.217,65.625,False
283,falling,380.0,310.0,65.3,,template,0.4183,1.9902,1.0,0.0,3.3369,0.0,65.625,False
284,falling,380.0,310.0,65.3,,template,0.4102,1.9902,1.0,0.0,3.6706,0.0,65.625,False
285,falling,1207.8,275.8,30.9,,hough,1.0,0.9428,0.4737,37833.75,4.0043,828.506,65.625,False
286,falling,380.0,307.0,65.3,,template,0.4089,1.9902,1.0,37828.34,4.338,828.388,65.625,False
287,falling,1207.0,286.4,39.8,,hough,1.0,1.2136,0.6098,37776.68,4.6717,827.257,65.625,False
288,falling,380.0,309.0,65.3,,template,0.3989,1.9902,1.0,37779.06,5.0054,827.309,65.625,False
289,falling,1177.3,360.4,45.8,,hough,1.0,1.3948,0.7008,36484.3,5.3391,798.955,65.625,False
290,falling,380.0,310.0,65.3,,template,0.4044,1.9902,1.0,36481.39,5.6728,798.891,65.625,False
291,falling,1197.2,333.9,43.9,,hough,1.0,1.3389,0.6727,37333.4,6.0065,817.549,65.625,False
292,falling,380.0,307.0,65.3,,template,0.4109,1.9902,1.0,37337.66,6.3402,817.643,65.625,False
293,falling,1208.4,277.7,38.6,,hough,1.0,1.1771,0.5914,37852.55,6.6739,828.918,65.625,False
294,falling,380.0,307.0,65.3,,template,0.4115,1.9902,1.0,37852.55,7.0076,828.918,65.625,False
295,falling,1188.2,83.5,25.2,,hough,1.0,0.7694,0.3866,38291.67,7.3412,838.534,65.625,False
296,falling,380.0,310.0,65.3,,template,0.4243,1.9902,1.0,38328.41,7.6749,839.339,65.625,False
297,falling,380.0,309.0,65.3,,template,0.4295,1.9902,1.0,45.67,8.0086,1.0,65.625,False
298,falling,816.0,135.0,65.3,,template,0.5521,1.9902,1.0,21436.89,8.3423,469.438,65.625,False
299,falling,810.0,135.0,65.3,,template,0.6191,1.9902,1.0,273.99,8.676,6.0,65.625,False
300,falling,812.0,158.0,65.3,,template,0.6137,1.9902,1.0,1054.26,9.0097,23.087,65.625,False
301,falling,812.0,183.0,65.3,,template,0.6155,1.9902,1.0,1141.63,9.3434,25.0,65.625,False
302,falling,1158.3,352.3,65.3,,hough,1.0,1.9902,1.0,17602.44,9.6771,385.469,65.625,False
303,falling,1196.2,327.6,35.2,,hough,1.0,1.0725,0.5389,2065.81,10.0108,45.238,65.625,False
304,falling,1051.4,313.8,127.8,,hough,1.0,3.8963,1.9577,6642.26,10.3445,145.456,65.625,False
305,falling,1257.4,414.2,89.2,,hough,1.0,2.7184,1.3659,10464.78,10.6782,229.164,65.625,False
306,falling,815.0,300.0,65.3,,template,0.6254,1.9902,1.0,20864.43,11.0119,456.902,65.625,False
307,falling,817.0,318.0,65.3,,template,0.6167,1.9902,1.0,827.03,11.3456,18.111,65.625,False
308,falling,823.0,330.0,65.3,,template,0.5235,1.9902,1.0,612.66,11.6793,13.416,65.625,False
309,spreading,,,,103,contact_width,1.0,,0.7886,,12.0129,,65.625,True
310,spreading,,,,134,contact_width,1.0,,1.026,,12.3466,,65.625,False
311,spreading,,,,151,contact_width,1.0,,1.1561,,12.6803,,65.625,False
312,spreading,,,,155,contact_width,1.0,,1.1867,,13.014,,65.625,False
